deal_id,company_id,company_name,segment,industry,employees,plan,stage,stage_order,amount,created_at,closed_at,is_closed,is_won,won_amount,days_to_close,sales_cycle_bucket,deal_quarter,deal_month,close_quarter,is_open,total_activities,total_calls,total_emails,total_meetings,total_demos,positive_outcomes,negative_outcomes,positive_outcome_pct
DEAL-0001,COMP-0204,Mendonça,Mid-Market,Fintech,3864,Starter,Prospecting,1,1592,2024-04-19,,False,False,0,,Em andamento,Q2 2024,2024-04,,True,5,2,1,0,1,2,2,40.0
DEAL-0002,COMP-0249,Azevedo e Filhos,SMB,E-commerce,4823,Pro,Negotiation,4,1499,2022-01-20,,False,False,0,,Em andamento,Q1 2022,2022-01,,True,8,2,0,0,2,2,0,25.0
DEAL-0003,COMP-0244,Gonçalves,SMB,Fintech,1402,Starter,Closed Won,5,1393,2024-02-10,2024-05-05,True,True,1393,85,61 a 90 dias,Q1 2024,2024-02,Q2 2024,False,10,1,4,2,1,2,6,20.0
DEAL-0004,COMP-0280,Casa Grande Rezende Ltda.,Enterprise,Healthtech,760,Enterprise,Negotiation,4,63984,2023-05-03,,False,False,0,,Em andamento,Q2 2023,2023-05,,True,2,0,0,1,1,0,1,0.0
DEAL-0005,COMP-0125,Martins Vieira Ltda.,Mid-Market,Edtech,3662,Starter,Closed Lost,6,398,2022-10-19,2023-01-05,True,False,0,78,61 a 90 dias,Q4 2022,2022-10,Q1 2023,False,9,0,1,2,2,2,4,22.2
DEAL-0006,COMP-0036,Souza,SMB,SaaS,2983,Pro,Closed Lost,6,22485,2024-11-30,2025-03-22,True,False,0,112,Mais de 90 dias,Q4 2024,2024-11,Q1 2025,False,3,1,0,1,0,0,1,0.0
DEAL-0007,COMP-0156,Vargas S/A,Mid-Market,SaaS,3451,Starter,Closed Lost,6,3383,2022-06-23,2022-11-25,True,False,0,155,Mais de 90 dias,Q2 2022,2022-06,Q4 2022,False,6,2,1,1,0,3,2,50.0
DEAL-0008,COMP-0268,Cardoso,SMB,Edtech,4609,Starter,Qualified,2,3781,2024-03-18,,False,False,0,,Em andamento,Q1 2024,2024-03,,True,3,2,0,0,1,0,2,0.0
DEAL-0009,COMP-0090,Pereira Freitas e Filhos,Enterprise,Fintech,1949,Growth,Negotiation,4,4792,2024-06-09,,False,False,0,,Em andamento,Q2 2024,2024-06,,True,4,2,0,2,0,2,1,50.0
DEAL-0010,COMP-0242,da Conceição,SMB,SaaS,2413,Enterprise,Proposal,3,91977,2023-10-08,,False,False,0,,Em andamento,Q4 2023,2023-10,,True,9,1,1,3,3,3,2,33.3
DEAL-0011,COMP-0058,Casa Grande Rios Ltda.,SMB,Fintech,3295,Enterprise,Closed Won,5,35991,2023-10-31,2024-01-27,True,True,35991,88,61 a 90 dias,Q4 2023,2023-10,Q1 2024,False,6,1,1,2,0,1,2,16.7
DEAL-0012,COMP-0254,Camargo,SMB,Edtech,411,Growth,Qualified,2,11381,2023-02-20,,False,False,0,,Em andamento,Q1 2023,2023-02,,True,4,0,2,1,1,2,2,50.0
DEAL-0013,COMP-0068,Sampaio e Filhos,Mid-Market,Healthtech,4791,Growth,Qualified,2,8985,2022-08-05,,False,False,0,,Em andamento,Q3 2022,2022-08,,True,7,2,4,1,0,1,6,14.3
DEAL-0014,COMP-0298,Nunes S.A.,SMB,Edtech,4356,Starter,Negotiation,4,3582,2024-04-12,,False,False,0,,Em andamento,Q2 2024,2024-04,,True,8,1,2,1,3,1,1,12.5
DEAL-0015,COMP-0078,Vargas - EI,SMB,SaaS,4542,Enterprise,Proposal,3,39990,2023-03-02,,False,False,0,,Em andamento,Q1 2023,2023-03,,True,4,2,1,0,1,2,2,50.0
DEAL-0016,COMP-0273,Brito,SMB,E-commerce,4435,Starter,Negotiation,4,1194,2022-09-03,,False,False,0,,Em andamento,Q3 2022,2022-09,,True,8,1,3,2,2,4,1,50.0
DEAL-0017,COMP-0035,Barros,SMB,Edtech,14,Starter,Closed Won,5,1393,2023-09-16,2024-02-24,True,True,1393,161,Mais de 90 dias,Q3 2023,2023-09,Q1 2024,False,7,0,2,0,4,1,4,14.3
DEAL-0018,COMP-0167,Martins da Paz e Filhos,Mid-Market,Healthtech,3681,Starter,Closed Won,5,4577,2023-11-03,2023-12-17,True,True,4577,44,31 a 60 dias,Q4 2023,2023-11,Q4 2023,False,10,1,2,6,1,1,5,10.0
DEAL-0019,COMP-0245,Fonseca - ME,SMB,Healthtech,1982,Enterprise,Qualified,2,67983,2023-12-30,,False,False,0,,Em andamento,Q4 2023,2023-12,,True,9,4,2,2,1,4,2,44.4
DEAL-0020,COMP-0202,Pereira S/A,SMB,Edtech,4819,Pro,Prospecting,1,8994,2023-09-05,,False,False,0,,Em andamento,Q3 2023,2023-09,,True,10,2,4,0,1,5,1,50.0
DEAL-0021,COMP-0141,Lopes,SMB,Healthtech,1121,Enterprise,Prospecting,1,71982,2024-04-08,,False,False,0,,Em andamento,Q2 2024,2024-04,,True,4,0,2,1,0,2,1,50.0
DEAL-0022,COMP-0181,Mendes Sá - ME,SMB,SaaS,2078,Enterprise,Closed Won,5,15996,2023-05-27,2023-06-27,True,True,15996,31,31 a 60 dias,Q2 2023,2023-05,Q2 2023,False,7,2,2,2,0,3,3,42.9
DEAL-0023,COMP-0104,Pires S/A,Enterprise,Edtech,1624,Starter,Closed Won,5,398,2022-10-14,2022-11-21,True,True,398,38,31 a 60 dias,Q4 2022,2022-10,Q4 2022,False,5,0,2,0,2,4,1,80.0
DEAL-0024,COMP-0259,Guerra,Enterprise,E-commerce,3413,Growth,Closed Won,5,7787,2023-04-01,2023-05-11,True,True,7787,40,31 a 60 dias,Q2 2023,2023-04,Q2 2023,False,6,1,0,1,2,3,3,50.0
DEAL-0025,COMP-0260,Melo S.A.,SMB,Edtech,3007,Pro,Proposal,3,4497,2022-06-22,,False,False,0,,Em andamento,Q2 2022,2022-06,,True,3,1,1,1,0,1,1,33.3
DEAL-0026,COMP-0189,Sales,Mid-Market,E-commerce,675,Growth,Prospecting,1,12579,2022-05-13,,False,False,0,,Em andamento,Q2 2022,2022-05,,True,3,0,0,0,1,0,2,0.0
DEAL-0027,COMP-0038,Casa Grande - EI,SMB,Healthtech,576,Starter,Proposal,3,2189,2022-09-21,,False,False,0,,Em andamento,Q3 2022,2022-09,,True,5,1,2,1,1,2,2,40.0
DEAL-0028,COMP-0087,Andrade,SMB,SaaS,2535,Starter,Qualified,2,1194,2024-08-02,,False,False,0,,Em andamento,Q3 2024,2024-08,,True,6,1,3,1,0,3,1,50.0
DEAL-0029,COMP-0143,Moreira,SMB,E-commerce,2774,Enterprise,Closed Lost,6,3999,2024-06-06,2024-09-22,True,False,0,108,Mais de 90 dias,Q2 2024,2024-06,Q3 2024,False,9,1,2,1,3,6,1,66.7
DEAL-0030,COMP-0094,Nunes,Mid-Market,Fintech,1644,Growth,Proposal,3,7188,2024-05-23,,False,False,0,,Em andamento,Q2 2024,2024-05,,True,9,6,0,1,1,4,1,44.4
DEAL-0031,COMP-0196,Albuquerque e Filhos,Mid-Market,SaaS,498,Pro,Qualified,2,13491,2023-01-19,,False,False,0,,Em andamento,Q1 2023,2023-01,,True,6,1,0,0,2,3,2,50.0
DEAL-0032,COMP-0038,Casa Grande - EI,SMB,Healthtech,576,Starter,Proposal,3,3980,2022-11-01,,False,False,0,,Em andamento,Q4 2022,2022-11,,True,8,1,3,0,1,3,1,37.5
DEAL-0033,COMP-0265,Pereira,SMB,Healthtech,124,Pro,Closed Won,5,23984,2023-05-19,2023-11-07,True,True,23984,172,Mais de 90 dias,Q2 2023,2023-05,Q4 2023,False,5,0,2,2,1,3,1,60.0
DEAL-0034,COMP-0189,Sales,Mid-Market,E-commerce,675,Starter,Proposal,3,597,2024-09-08,,False,False,0,,Em andamento,Q3 2024,2024-09,,True,2,1,0,0,1,0,1,0.0
DEAL-0035,COMP-0042,Nogueira,Enterprise,E-commerce,3598,Enterprise,Proposal,3,27993,2022-10-09,,False,False,0,,Em andamento,Q4 2022,2022-10,,True,4,0,1,1,1,1,3,25.0
DEAL-0036,COMP-0028,Guerra,SMB,Edtech,3844,Starter,Closed Won,5,2587,2024-12-12,2025-02-20,True,True,2587,70,61 a 90 dias,Q4 2024,2024-12,Q1 2025,False,8,1,4,2,0,1,5,12.5
DEAL-0037,COMP-0081,Pinto Ltda.,SMB,SaaS,766,Enterprise,Closed Won,5,47988,2024-01-06,2024-05-14,True,True,47988,129,Mais de 90 dias,Q1 2024,2024-01,Q2 2024,False,3,1,0,0,0,1,1,33.3
DEAL-0038,COMP-0162,Martins e Filhos,SMB,Healthtech,2672,Enterprise,Closed Lost,6,35991,2024-10-25,2025-01-22,True,False,0,89,61 a 90 dias,Q4 2024,2024-10,Q1 2025,False,9,1,2,3,2,2,4,22.2
DEAL-0039,COMP-0172,Martins Cunha e Filhos,SMB,SaaS,1587,Growth,Qualified,2,599,2023-10-16,,False,False,0,,Em andamento,Q4 2023,2023-10,,True,3,1,1,1,0,1,0,33.3
DEAL-0040,COMP-0264,Farias S/A,Mid-Market,Fintech,3265,Enterprise,Closed Lost,6,67983,2023-07-30,2023-08-20,True,False,0,21,Ate 30 dias,Q3 2023,2023-07,Q3 2023,False,4,0,0,1,2,1,1,25.0
DEAL-0041,COMP-0042,Nogueira,Enterprise,E-commerce,3598,Growth,Proposal,3,2396,2023-04-22,,False,False,0,,Em andamento,Q2 2023,2023-04,,True,9,1,2,2,2,2,3,22.2
DEAL-0042,COMP-0193,Pimenta,Mid-Market,Healthtech,593,Pro,Qualified,2,26982,2023-05-09,,False,False,0,,Em andamento,Q2 2023,2023-05,,True,7,3,1,2,0,2,2,28.6
DEAL-0043,COMP-0193,Pimenta,Mid-Market,Healthtech,593,Enterprise,Closed Won,5,47988,2022-04-25,2022-06-27,True,True,47988,63,61 a 90 dias,Q2 2022,2022-04,Q2 2022,False,4,1,1,1,1,2,1,50.0
DEAL-0044,COMP-0087,Andrade,SMB,SaaS,2535,Growth,Closed Lost,6,11381,2022-12-22,2023-02-12,True,False,0,52,31 a 60 dias,Q4 2022,2022-12,Q1 2023,False,9,0,1,2,2,2,3,22.2
DEAL-0045,COMP-0141,Lopes,SMB,Healthtech,1121,Starter,Proposal,3,4577,2024-01-05,,False,False,0,,Em andamento,Q1 2024,2024-01,,True,7,1,4,0,0,2,2,28.6
